,0
ClaimToIncome,0.1519835918303224
AmountPerIncome,0.1519835918303224
ClaimAmountLog,0.0885348648298645
AmountSq,0.08848708665426686
ClaimAmount,0.08845466432861127
IncomeLog,0.08767652152105376
PatientIncome,0.08758142467198882
AmountPerAge,0.03161960270807285
AgeXIncome,0.026902825637834527
ClaimType_Inpatient,0.006596833940857083
PatientGender_F,0.006416324111958138
PatientEmploymentStatus_Unemployed,0.0051706042752575065
ClaimSubmissionMethod_Online,0.004009599728119317
ClaimDayOfYear,0.003911744967545205
ProviderSpecialty_Pediatrics,0.0037027920125907166
ProviderSpecialty_Cardiology,0.003584576737468481
PatientEmploymentStatus_Retired,0.0033181307177481134
ClaimType_Outpatient,0.0030583464559681417
AgeGroup_Adult,0.0030021712967833736
AgeGroup_Elderly,0.002861197056859055
AgeGroup_YoungAdult,0.002540871465659178
ClaimSeason,0.0024019205673866395
ClaimType_Emergency,0.00223641185744361
PatientMaritalStatus_Single,0.0021720067104105123
ProviderSpecialty_Orthopedics,0.0014056793783325805
AgeSq,0.0013721417202374742
PatientAge,0.0011541263931313939
ClaimDayOfWeek,0.0010977901453492755
ClaimYear,0.0009848414528006444
ClaimStatus_Pending,0.0007048632456849724
ProviderSpecialty_Neurology,0.0004348568303864653
ClaimSubmissionMethod_Phone,0.0003935503981020716
PatientEmploymentStatus_Employed,0.00033274259809101814
ClaimSubmissionMethod_Paper,0.00016496941998678238
ClaimMonth,0.0
ClaimIsWeekend,0.0
ClaimStatus_Approved,0.0
PatientGender_M,0.0
ProviderSpecialty_General Practice,0.0
PatientMaritalStatus_Widowed,0.0
PatientMaritalStatus_Married,0.0
PatientMaritalStatus_Divorced,0.0
ClaimStatus_Denied,0.0
ClaimType_Routine,0.0
PatientEmploymentStatus_Student,0.0
AgeGroup_Child,0.0
AgeGroup_Senior,0.0
